Time,Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z,label
115.15625,-46.27695,97.75945,165.83233,-0.47642,1.83764,-0.60928,2
148.0,9.67941,16.34154,-106.65476,0.33593,0.98828,0.01649,2
148.58594,7.26749,1.60575,-15.45401,0.11267,0.99987,-0.14644,2
124.78906,-56.47589,134.12187,214.86537,-0.90362,2.07748,-0.63325,1
144.5,-5.23999,14.256620000000002,25.87733,0.04018,0.96512,-0.25995,2
137.44531,-5.96357,40.58316,102.5459,0.2011,0.91783,-0.36514,1
121.55469,-12.99257,-23.20126,109.65517,0.18709,0.29577,0.00328,1
130.63281,49.23476,-22.74188,-131.50235,2.65024,1.50417,0.0023,1
169.32031,0.13513,-0.44383,-0.60818,-0.033760000000000005,0.97429,-0.2286300000000001,1
135.65625,44.54876,-110.52055,-277.66053,-0.10577,0.99408,-0.29126,0
146.28125,1.96129,3.0546,27.4107,-0.20677,0.95257,-0.28783000000000003,2
137.07031,54.40315,-47.01883,-336.41654,-0.30148,0.99311,-0.13127,1
148.46094,11.22992,-15.56834,-25.52547,0.14118,1.11762,-0.18411,2
109.74219,26.73507,14.43331,-79.57681,0.77086,1.05054,0.01844,2
140.50781,-62.98806,124.72206,170.32789,-0.35658,2.2782400000000003,-0.47326,1
134.28125,-5.27445,-54.93446,84.07575,0.36251,0.3503,-0.18754,0
166.67969,-0.17498,0.08623,-0.71273,-0.035210000000000005,0.97718,-0.22619,1
126.89844,-31.77102,41.96133,189.84353,-0.14829,1.54857,-0.56329,0
157.38281,0.031760000000000004,-0.33782,-0.71273,-0.033280000000000004,0.98105,-0.21983000000000005,0
124.85938,-6.13585,50.26567,36.29728,-0.16859000000000002,0.9323,-0.49822,2
113.53125,-39.5236,4.2560699999999985,129.7284,0.19482,1.46122,-0.31572,0
141.57813000000004,44.16975,15.24608,-153.2832,0.31612,1.20497,-0.07109,0
143.79688000000004,-4.24077,80.76205,52.39768,-0.35271,0.97043,-0.13127,0
154.34375,-0.55399,2.52453,0.54185,-0.05116,0.96609,-0.21836,0
140.25781,34.14309,-72.77996,77.83771,-0.40393,1.08191,-0.4762,0
135.50781,-15.88686,27.96763,41.83833,-0.02506,0.99311,-0.27462,2
119.94531,30.93869,-92.49836,-291.53058,-0.2894,0.97139,-0.1709,0
135.59375,-24.46638,-16.27509,116.62503999999998,0.03293,1.1152,-0.37248,1
143.08594,-22.39902,-2.59943,82.71661999999998,0.11798,1.08094,-0.27854,1
141.125,11.02319,-13.3774,62.12065,-0.14781,1.51237,-0.15965,1
130.67188000000002,-25.12104,47.58001,90.66227,1.86157,1.48487,0.14761,1
123.25,-29.63476,1.2523799999999998,178.3084,0.12426,1.78407,-0.38275,0
126.59375,-9.3747,16.800929999999994,39.43372,-0.00477,0.98153,-0.26826,2
133.42188000000002,37.00292,0.79299,-141.05106999999995,0.79357,1.31693,-0.01287,2
143.64063000000004,60.05391,-17.61792,-292.99425,0.55871,1.86852,-0.42042,1
168.90625,-0.07161000000000001,-0.16113,-0.43393,-0.035210000000000005,0.97188,-0.23206,1
138.80469,-42.21116,10.51084,79.78928,0.03824,1.26867,-0.23304,2
128.14844,-7.8586399999999985,-13.51875,-10.05236,-1.3970200000000002,0.32328,-0.07207000000000001,1
130.01563000000002,-4.2752300000000005,33.83367,54.0356,-0.17825,0.98925,-0.08137,0
152.52344,-4.37859,-2.81145,11.90274,0.15084,0.9767,-0.22276,0
121.19531,38.07106,-59.84639,-346.38346,-0.08257,1.54085,-0.26533,0
149.13281,0.82424,2.70122,-0.81728,-0.00042,0.97429,-0.17775,2
129.01563000000002,-26.98166,33.72766,43.78989,0.46399,1.0399200000000002,0.016980000000000002,2
148.21094,-33.73501,46.83792,116.90384,0.36348,1.05006,-0.1117,1
155.83594,0.27295,-0.26714,-1.40972,-0.02265,0.97043,-0.2164,0
128.8125,12.98717,14.8927,54.34925,-0.036660000000000005,1.02979,-0.16355999999999998,0
115.28125,13.4351,-18.43068,-24.51484,2.3327400000000003,1.31644,-0.22668,0
132.57031,-16.85163,6.871060000000001,35.42605,0.00925,0.95692,-0.31915,2
132.99219,28.52678,-100.34331,118.8554,0.65536,1.81496,-0.56475,1
124.72656,7.26749,16.30621,51.66585,-0.22416,0.8290299999999999,-0.50066,2
157.46875,-0.41617,0.26292,-0.18999,-0.032310000000000005,0.97477,-0.22423,0
142.53125,33.55734,-23.34262,64.59496,-0.32516,1.1403,-0.40868,1
119.35156,9.95505,34.75245,15.31797,0.08463999999999999,0.94196,-0.31279,0
